VFD vs Soft Starter Comparison - Motor Startup Simulation
Generated:,2025-10-28 08:22:36
Motor Rating:,800 HP (596.6 kW)
Load Type:,constant_torque

VFD DATA
Time (s),Speed (RPM),Current (A),Torque (Nm),Slip (%),Power In (kW),Power Out (kW),Efficiency (%)
8.028,290.7,1543.4,2540.1,83.85,628.71,30.77,4.9
8.048,292.6,1546.0,2548.4,83.74,630.50,31.03,4.9
8.068,294.5,1548.5,2556.8,83.64,632.30,31.28,4.9
8.088,296.4,1551.1,2565.1,83.53,634.10,31.54,5.0
8.108,298.3,1553.6,2573.5,83.43,635.91,31.80,5.0
8.128,300.2,1556.2,2581.9,83.32,637.73,32.06,5.0
8.148,302.1,1558.8,2590.4,83.22,639.56,32.32,5.1
8.168,304.0,1561.4,2598.9,83.11,641.39,32.58,5.1
8.188,306.0,1564.0,2607.4,83.00,643.23,32.85,5.1
8.208,307.9,1566.6,2615.9,82.90,645.08,33.12,5.1
8.228,309.8,1569.2,2624.5,82.79,646.94,33.39,5.2
8.248,311.8,1571.9,2633.1,82.68,648.80,33.66,5.2
8.268,313.8,1574.6,2641.8,82.57,650.67,33.93,5.2
8.288,315.7,1577.2,2650.4,82.46,652.55,34.21,5.2
8.308,317.7,1579.9,2659.2,82.35,654.43,34.48,5.3
8.328,319.7,1582.6,2667.9,82.24,656.33,34.76,5.3
8.348,321.7,1585.3,2676.7,82.13,658.23,35.04,5.3
8.368,323.7,1588.0,2685.5,82.02,660.14,35.33,5.4
8.388,325.7,1590.8,2694.3,81.91,662.06,35.61,5.4
8.408,327.7,1593.5,2703.2,81.79,663.98,35.90,5.4
8.428,329.8,1596.3,2712.1,81.68,665.92,36.19,5.4
8.448,331.8,1599.0,2721.0,81.57,667.86,36.48,5.5
8.468,333.8,1601.8,2730.0,81.45,669.81,36.77,5.5
8.488,335.9,1604.6,2739.0,81.34,671.77,37.07,5.5
8.509,338.0,1607.4,2748.0,81.22,673.73,37.36,5.5
8.529,340.0,1610.3,2757.1,81.11,675.71,37.66,5.6
8.549,342.1,1613.1,2766.2,80.99,677.69,37.96,5.6
8.569,344.2,1615.9,2775.3,80.88,679.68,38.27,5.6
8.589,346.3,1618.8,2784.5,80.76,681.68,38.57,5.7
8.609,348.4,1621.7,2793.7,80.64,683.69,38.88,5.7
8.629,350.5,1624.6,2803.0,80.53,685.71,39.19,5.7
8.649,352.6,1627.5,2812.3,80.41,687.73,39.50,5.7
8.669,354.8,1630.4,2821.6,80.29,689.76,39.81,5.8
8.689,356.9,1633.3,2831.0,80.17,691.81,40.13,5.8
8.709,359.0,1636.3,2840.3,80.05,693.86,40.45,5.8
8.729,361.2,1639.2,2849.8,79.93,695.92,40.77,5.9
8.749,363.4,1642.2,2859.2,79.81,697.98,41.09,5.9
8.769,365.5,1645.2,2868.7,79.69,700.06,41.42,5.9
8.789,367.7,1648.2,2878.3,79.57,702.15,41.75,5.9
8.809,369.9,1651.2,2887.9,79.45,704.24,42.08,6.0
8.829,372.1,1654.2,2897.5,79.33,706.35,42.41,6.0
8.849,374.3,1657.3,2907.1,79.20,708.46,42.74,6.0
8.869,376.6,1660.3,2916.8,79.08,710.58,43.08,6.1
8.889,378.8,1663.4,2926.6,78.96,712.71,43.42,6.1
8.909,381.0,1666.5,2936.3,78.83,714.85,43.76,6.1
8.929,383.3,1669.6,2946.2,78.71,717.00,44.10,6.2
8.949,385.5,1672.7,2956.0,78.58,719.16,44.45,6.2
8.969,387.8,1675.8,2965.9,78.46,721.33,44.80,6.2
8.989,390.1,1679.0,2975.8,78.33,723.51,45.15,6.2
9.009,392.4,1682.1,2985.8,78.20,725.70,45.50,6.3
9.029,394.6,1685.3,2995.8,78.08,727.90,45.86,6.3
9.049,397.0,1688.5,3005.9,77.95,730.10,46.22,6.3
9.069,399.3,1691.7,3016.0,77.82,732.32,46.58,6.4
9.089,401.6,1694.9,3026.1,77.69,734.55,46.94,6.4
9.109,403.9,1698.1,3036.3,77.56,736.78,47.31,6.4
9.129,406.3,1701.4,3046.5,77.43,739.03,47.68,6.5
9.149,408.6,1704.7,3056.7,77.30,741.29,48.05,6.5
9.169,411.0,1708.0,3067.0,77.17,743.55,48.43,6.5
9.189,413.3,1711.2,3077.4,77.04,745.83,48.80,6.5
9.209,415.7,1714.6,3087.8,76.90,748.12,49.18,6.6
9.229,418.1,1717.9,3098.2,76.77,750.42,49.56,6.6
9.249,420.5,1721.2,3108.7,76.64,752.72,49.95,6.6
9.269,422.9,1724.6,3119.2,76.50,755.04,50.34,6.7
9.289,425.3,1728.0,3129.8,76.37,757.37,50.73,6.7
9.309,427.8,1731.4,3140.4,76.24,759.71,51.12,6.7
9.329,430.2,1734.8,3151.0,76.10,762.06,51.52,6.8
9.349,432.7,1738.2,3161.7,75.96,764.42,51.92,6.8
9.369,435.1,1741.7,3172.5,75.83,766.79,52.32,6.8
9.389,437.6,1745.1,3183.3,75.69,769.17,52.72,6.9
9.409,440.1,1748.6,3194.1,75.55,771.56,53.13,6.9
9.429,442.5,1752.1,3205.0,75.41,773.97,53.54,6.9
9.449,445.0,1755.6,3215.9,75.28,776.38,53.95,6.9
9.469,447.6,1759.1,3226.9,75.14,778.81,54.37,7.0
9.489,450.1,1762.7,3237.9,75.00,781.24,54.79,7.0
9.510,452.6,1766.3,3249.0,74.86,783.69,55.21,7.0
9.530,455.1,1769.8,3260.1,74.71,786.15,55.63,7.1
9.550,457.7,1773.4,3271.3,74.57,788.62,56.06,7.1
9.570,460.3,1777.1,3282.5,74.43,791.11,56.49,7.1
9.590,462.8,1780.7,3293.8,74.29,793.60,56.93,7.2
9.610,465.4,1784.4,3305.1,74.14,796.11,57.37,7.2
9.630,468.0,1788.0,3316.5,74.00,798.62,57.81,7.2
9.650,470.6,1791.7,3327.9,73.85,801.15,58.25,7.3
9.670,473.2,1795.4,3339.3,73.71,803.69,58.70,7.3
9.690,475.9,1799.2,3350.9,73.56,806.25,59.15,7.3
9.710,478.5,1802.9,3362.4,73.42,808.81,59.60,7.4
9.730,481.1,1806.7,3374.1,73.27,811.39,60.06,7.4
9.750,483.8,1810.5,3385.7,73.12,813.98,60.52,7.4
9.770,486.5,1814.3,3397.5,72.97,816.58,60.98,7.5
9.790,489.1,1818.1,3409.2,72.83,819.20,61.45,7.5
9.810,491.8,1821.9,3421.1,72.68,821.82,61.92,7.5
9.830,494.5,1825.8,3433.0,72.53,824.46,62.39,7.6
9.850,497.3,1829.7,3444.9,72.37,827.12,62.87,7.6
9.870,500.0,1833.6,3456.9,72.22,829.78,63.35,7.6
9.890,502.7,1837.5,3468.9,72.07,832.46,63.83,7.7
9.910,505.5,1841.5,3481.0,71.92,835.15,64.32,7.7
9.930,508.2,1845.4,3493.2,71.77,837.85,64.81,7.7
9.950,511.0,1849.4,3505.4,71.61,840.57,65.30,7.8
9.970,513.8,1853.4,3517.7,71.46,843.30,65.80,7.8
9.990,516.6,1857.4,3530.0,71.30,846.04,66.30,7.8
10.010,519.4,1861.5,3542.4,71.15,848.80,66.81,7.9
10.030,522.2,1865.5,3554.9,70.99,851.57,67.32,7.9
10.050,525.0,1869.6,3567.4,70.83,854.36,67.83,7.9
10.070,527.9,1873.7,3579.9,70.67,857.15,68.35,8.0
10.090,530.7,1877.9,3592.5,70.52,859.97,68.87,8.0
10.110,533.6,1882.0,3605.2,70.36,862.79,69.39,8.0
10.130,536.4,1886.2,3618.0,70.20,865.63,69.92,8.1
10.150,539.3,1890.4,3630.8,70.04,868.49,70.45,8.1
10.170,542.2,1894.6,3643.6,69.88,871.35,70.98,8.1
10.190,545.1,1898.8,3656.5,69.71,874.24,71.52,8.2
10.210,548.1,1903.1,3669.5,69.55,877.13,72.07,8.2
10.230,551.0,1907.4,3682.6,69.39,880.04,72.62,8.3
10.250,554.0,1911.7,3695.7,69.22,882.97,73.17,8.3
10.270,556.9,1916.0,3708.8,69.06,885.91,73.72,8.3
10.290,559.9,1920.4,3722.1,68.90,888.87,74.28,8.4
10.310,562.9,1924.7,3735.4,68.73,891.84,74.84,8.4
10.330,565.9,1929.1,3748.7,68.56,894.82,75.41,8.4
10.350,568.9,1933.6,3762.2,68.40,897.82,75.98,8.5
10.370,571.9,1938.0,3775.7,68.23,900.84,76.56,8.5
10.390,574.9,1942.5,3789.2,68.06,903.87,77.14,8.5
10.410,578.0,1947.0,3802.8,67.89,906.92,77.73,8.6
10.430,581.1,1951.5,3816.5,67.72,909.98,78.32,8.6
10.450,584.1,1956.0,3830.3,67.55,913.06,78.91,8.6
10.470,587.2,1960.6,3844.1,67.38,916.15,79.51,8.7
10.490,590.3,1965.2,3858.0,67.20,919.26,80.11,8.7
10.511,593.4,1969.8,3872.0,67.03,922.39,80.72,8.8
10.531,596.6,1974.4,3886.0,66.86,925.53,81.33,8.8
10.551,599.7,1979.1,3900.1,66.68,928.69,81.94,8.8
10.571,602.9,1983.8,3914.3,66.51,931.86,82.56,8.9
10.591,606.0,1988.5,3928.5,66.33,935.05,83.19,8.9
10.611,609.2,1993.2,3942.8,66.16,938.26,83.82,8.9
10.631,612.4,1998.0,3957.2,65.98,941.49,84.45,9.0
10.651,615.6,2002.8,3971.7,65.80,944.73,85.09,9.0
10.671,618.8,2007.6,3986.2,65.62,947.99,85.74,9.0
10.691,622.1,2012.5,4000.8,65.44,951.27,86.39,9.1
10.711,625.3,2017.3,4015.5,65.26,954.56,87.04,9.1
10.731,628.6,2022.2,4030.2,65.08,957.87,87.70,9.2
10.751,631.9,2027.2,4045.1,64.90,961.20,88.36,9.2
10.771,635.2,2032.1,4060.0,64.71,964.54,89.03,9.2
10.791,638.5,2037.1,4075.0,64.53,967.91,89.70,9.3
10.811,641.8,2042.1,4090.0,64.35,971.29,90.38,9.3
10.831,645.1,2047.1,4105.1,64.16,974.69,91.07,9.3
10.851,648.5,2052.2,4120.4,63.97,978.11,91.76,9.4
10.871,651.8,2057.3,4135.6,63.79,981.54,92.45,9.4
10.891,655.2,2062.4,4151.0,63.60,985.00,93.15,9.5
10.911,658.6,2067.5,4166.5,63.41,988.47,93.86,9.5
10.931,662.0,2072.7,4182.0,63.22,991.96,94.57,9.5
10.951,665.4,2077.9,4197.6,63.03,995.47,95.28,9.6
10.971,668.9,2083.1,4213.3,62.84,999.00,96.00,9.6
10.991,672.3,2088.4,4229.1,62.65,1002.55,96.73,9.6
11.011,675.8,2093.7,4244.9,62.46,1006.12,97.46,9.7
11.031,679.3,2099.0,4260.9,62.26,1009.71,98.20,9.7
11.051,682.8,2104.4,4276.9,62.07,1013.31,98.94,9.8
11.071,686.3,2109.7,4293.0,61.87,1016.94,99.69,9.8
11.091,689.8,2115.1,4309.2,61.68,1020.58,100.45,9.8
11.111,693.3,2120.6,4325.4,61.48,1024.25,101.21,9.9
11.131,696.9,2126.1,4341.8,61.28,1027.93,101.98,9.9
11.151,700.5,2131.5,4358.2,61.08,1031.64,102.75,10.0
11.171,704.1,2137.1,4374.8,60.89,1035.37,103.53,10.0
11.191,707.7,2142.6,4391.4,60.68,1039.11,104.31,10.0
11.211,711.3,2148.2,4408.1,60.48,1042.88,105.10,10.1
11.231,714.9,2153.8,4424.9,60.28,1046.67,105.90,10.1
11.251,718.6,2159.5,4441.8,60.08,1050.47,106.70,10.2
11.271,722.3,2165.2,4458.8,59.87,1054.30,107.51,10.2
11.291,725.9,2170.9,4475.8,59.67,1058.15,108.33,10.2
11.311,729.6,2176.6,4493.0,59.46,1062.02,109.15,10.3
11.331,733.4,2182.4,4510.2,59.26,1065.92,109.98,10.3
11.351,737.1,2188.2,4527.6,59.05,1069.83,110.81,10.4
11.371,740.9,2194.1,4545.0,58.84,1073.76,111.65,10.4
11.391,744.6,2200.0,4562.5,58.63,1077.72,112.50,10.4
11.411,748.4,2205.9,4580.1,58.42,1081.70,113.35,10.5
11.431,752.2,2211.8,4597.8,58.21,1085.70,114.21,10.5
11.451,756.0,2217.8,4615.6,58.00,1089.72,115.08,10.6
11.471,759.9,2223.8,4633.5,57.78,1093.76,115.96,10.6
11.491,763.7,2229.8,4651.5,57.57,1097.83,116.84,10.6
11.512,767.6,2235.9,4669.6,57.36,1101.92,117.73,10.7
11.532,771.5,2242.0,4687.8,57.14,1106.03,118.62,10.7
11.552,775.4,2248.2,4706.1,56.92,1110.16,119.52,10.8
11.572,779.3,2254.3,4724.5,56.70,1114.32,120.43,10.8
11.592,783.3,2260.5,4742.9,56.49,1118.50,121.35,10.8
11.612,787.2,2266.8,4761.5,56.27,1122.70,122.27,10.9
11.632,791.2,2273.0,4780.2,56.04,1126.92,123.21,10.9
11.652,795.2,2279.4,4799.0,55.82,1131.17,124.14,11.0
11.672,799.2,2285.7,4817.8,55.60,1135.44,125.09,11.0
11.692,803.2,2292.1,4836.8,55.38,1139.73,126.04,11.1
11.712,807.3,2298.5,4855.9,55.15,1144.05,127.01,11.1
11.732,811.3,2304.9,4875.0,54.93,1148.39,127.97,11.1
11.752,815.4,2311.4,4894.3,54.70,1152.75,128.95,11.2
11.772,819.5,2317.9,4913.7,54.47,1157.14,129.94,11.2
11.792,823.7,2324.5,4933.1,54.24,1161.55,130.93,11.3
11.812,827.8,2331.0,4952.7,54.01,1165.98,131.93,11.3
11.832,832.0,2337.7,4972.4,53.78,1170.44,132.94,11.4
11.852,836.1,2344.3,4992.1,53.55,1174.92,133.95,11.4
11.872,840.3,2351.0,5012.0,53.31,1179.43,134.98,11.4
11.892,844.6,2357.7,5032.0,53.08,1183.95,136.01,11.5
11.912,848.8,2364.5,5052.1,52.84,1188.51,137.05,11.5
11.932,853.1,2371.2,5072.2,52.61,1193.08,138.10,11.6
11.952,857.3,2378.1,5092.5,52.37,1197.68,139.16,11.6
11.972,861.6,2384.9,5112.9,52.13,1202.30,140.22,11.7
11.992,865.9,2391.8,5133.4,51.89,1206.95,141.30,11.7
12.012,870.3,2398.7,5154.0,51.65,1211.62,142.38,11.8
12.032,874.6,2405.7,5174.6,51.41,1216.31,143.47,11.8
12.052,879.0,2412.6,5195.4,51.17,1221.03,144.57,11.8
12.072,883.4,2419.7,5216.3,50.92,1225.77,145.68,11.9
12.092,887.8,2426.7,5237.3,50.68,1230.53,146.80,11.9
12.112,892.3,2433.8,5258.4,50.43,1235.32,147.93,12.0
12.132,896.7,2440.9,5279.5,50.18,1240.12,149.07,12.0
12.152,901.2,2448.0,5300.8,49.93,1244.96,150.21,12.1
12.172,905.7,2455.2,5322.2,49.68,1249.81,151.37,12.1
12.192,910.2,2462.4,5343.7,49.43,1254.69,152.53,12.2
12.212,914.7,2469.7,5365.2,49.18,1259.59,153.71,12.2
12.232,919.3,2476.9,5386.9,48.93,1264.51,154.89,12.2
12.252,923.9,2484.2,5408.7,48.67,1269.46,156.09,12.3
12.272,928.5,2491.5,5430.5,48.42,1274.42,157.29,12.3
12.292,933.1,2498.9,5452.4,48.16,1279.41,158.50,12.4
12.312,937.7,2506.3,5474.5,47.90,1284.42,159.72,12.4
12.332,942.4,2513.7,5496.6,47.64,1289.45,160.96,12.5
12.352,947.1,2521.1,5518.8,47.38,1294.50,162.20,12.5
12.372,951.8,2528.6,5541.1,47.12,1299.57,163.45,12.6
12.392,956.5,2536.1,5563.5,46.86,1304.66,164.72,12.6
12.412,961.3,2543.6,5586.0,46.60,1309.77,165.99,12.7
12.432,966.1,2551.1,5608.5,46.33,1314.90,167.27,12.7
12.452,970.9,2558.6,5631.1,46.06,1320.05,168.57,12.8
12.472,975.7,2566.2,5653.8,45.80,1325.21,169.87,12.8
12.492,980.5,2573.8,5676.6,45.53,1330.40,171.18,12.9
12.513,985.4,2581.4,5699.5,45.26,1335.60,172.51,12.9
12.533,990.2,2589.0,5722.4,44.99,1340.81,173.85,13.0
12.553,995.1,2596.7,5745.4,44.71,1346.05,175.19,13.0
12.573,1000.1,2604.3,5768.4,44.44,1351.29,176.55,13.1
12.593,1005.0,2612.0,5791.5,44.17,1356.56,177.92,13.1
12.613,1010.0,2619.7,5814.7,43.89,1361.83,179.30,13.2
12.633,1015.0,2627.3,5837.9,43.61,1367.12,180.69,13.2
12.653,1020.0,2635.0,5861.1,43.33,1372.42,182.09,13.3
12.673,1025.0,2642.7,5884.5,43.05,1377.73,183.51,13.3
12.693,1030.1,2650.5,5907.8,42.77,1383.05,184.93,13.4
12.713,1035.2,2658.2,5931.2,42.49,1388.38,186.37,13.4
12.733,1040.3,2665.9,5954.6,42.21,1393.71,187.82,13.5
12.753,1045.4,2673.6,5978.0,41.92,1399.05,189.28,13.5
12.773,1050.5,2681.3,6001.5,41.64,1404.40,190.75,13.6
12.793,1055.7,2689.0,6025.0,41.35,1409.75,192.23,13.6
12.813,1060.9,2696.7,6048.5,41.06,1415.11,193.72,13.7
12.833,1066.1,2704.3,6072.0,40.77,1420.46,195.23,13.7
12.853,1071.4,2712.0,6095.4,40.48,1425.82,196.75,13.8
12.873,1076.6,2719.6,6118.9,40.19,1431.17,198.28,13.9
12.893,1081.9,2727.3,6142.4,39.89,1436.52,199.82,13.9
12.913,1087.2,2734.8,6165.8,39.60,1441.86,201.37,14.0
12.933,1092.5,2742.4,6189.2,39.30,1447.20,202.94,14.0
12.953,1097.9,2749.9,6212.5,39.01,1452.53,204.52,14.1
12.973,1103.2,2757.4,6235.8,38.71,1457.84,206.11,14.1
12.993,1108.6,2764.9,6259.1,38.41,1463.14,207.71,14.2
13.013,1114.0,2772.3,6282.2,38.11,1468.43,209.33,14.3
13.033,1119.5,2779.7,6305.3,37.81,1473.70,210.95,14.3
13.053,1124.9,2787.0,6328.3,37.50,1478.94,212.59,14.4
13.073,1130.4,2794.3,6351.2,37.20,1484.17,214.24,14.4
13.093,1135.9,2801.4,6374.0,36.89,1489.36,215.91,14.5
13.113,1141.4,2808.6,6396.6,36.59,1494.53,217.58,14.6
13.133,1147.0,2815.6,6419.1,36.28,1499.67,219.27,14.6
13.153,1152.5,2822.6,6441.4,35.97,1504.77,220.97,14.7
13.173,1158.1,2829.5,6463.6,35.66,1509.84,222.69,14.7
13.193,1163.7,2836.3,6485.6,35.35,1514.86,224.41,14.8
13.213,1169.3,2843.0,6507.4,35.04,1519.83,226.15,14.9
13.233,1175.0,2849.6,6529.0,34.72,1524.76,227.90,14.9
13.253,1180.6,2856.1,6550.3,34.41,1529.64,229.66,15.0
13.273,1186.3,2862.5,6571.4,34.10,1534.46,231.44,15.1
13.293,1192.0,2868.7,6592.2,33.78,1539.21,233.23,15.2
13.313,1197.7,2874.8,6612.8,33.46,1543.91,235.02,15.2
13.333,1203.4,2880.8,6633.0,33.14,1548.53,236.84,15.3
13.353,1209.2,2886.6,6652.9,32.82,1553.08,238.66,15.4
13.373,1214.9,2892.3,6672.5,32.50,1557.55,240.49,15.4
13.393,1220.7,2897.8,6691.7,32.18,1561.93,242.34,15.5
13.413,1226.5,2903.1,6710.5,31.86,1566.23,244.20,15.6
13.433,1232.3,2908.2,6728.8,31.54,1570.43,246.07,15.7
13.453,1238.1,2913.2,6746.8,31.21,1574.53,247.95,15.7
13.473,1244.0,2917.9,6764.2,30.89,1578.52,249.84,15.8
13.493,1249.8,2922.4,6781.2,30.57,1582.40,251.75,15.9
13.514,1255.7,2926.7,6797.7,30.24,1586.16,253.66,16.0
13.534,1261.6,2930.8,6813.6,29.91,1589.80,255.59,16.1
13.554,1267.4,2934.6,6828.9,29.59,1593.31,257.52,16.2
13.574,1273.3,2938.1,6843.7,29.26,1596.68,259.47,16.3
13.594,1279.3,2941.4,6857.8,28.93,1599.90,261.43,16.3
13.614,1285.2,2944.4,6871.2,28.60,1602.98,263.39,16.4
13.634,1291.1,2947.1,6884.0,28.27,1605.89,265.37,16.5
13.654,1297.0,2949.5,6896.0,27.94,1608.64,267.36,16.6
13.674,1303.0,2951.5,6907.2,27.61,1611.21,269.35,16.7
13.694,1308.9,2953.3,6917.7,27.28,1613.61,271.35,16.8
13.714,1314.8,2954.6,6927.3,26.95,1615.81,273.37,16.9
13.734,1320.8,2955.7,6936.1,26.62,1617.82,275.39,17.0
13.754,1326.7,2956.3,6944.0,26.29,1619.62,277.41,17.1
13.774,1332.7,2956.5,6950.9,25.96,1621.21,279.45,17.2
13.794,1338.7,2956.4,6956.9,25.63,1622.57,281.49,17.3
13.814,1344.6,2955.8,6961.9,25.30,1623.71,283.54,17.5
13.834,1350.5,2954.8,6965.8,24.97,1624.61,285.59,17.6
13.854,1356.5,2953.4,6968.7,24.64,1625.27,287.65,17.7
13.874,1362.4,2951.5,6970.5,24.31,1625.67,289.72,17.8
13.894,1368.4,2949.1,6971.1,23.98,1625.81,291.79,17.9
13.914,1374.3,2946.2,6970.5,23.65,1625.67,293.86,18.1
13.934,1380.2,2942.9,6968.7,23.32,1625.26,295.93,18.2
13.954,1386.1,2939.0,6965.6,23.00,1624.57,298.01,18.3
13.974,1392.0,2934.6,6961.3,22.67,1623.58,300.10,18.5
13.994,1397.8,2929.6,6955.7,22.34,1622.28,302.18,18.6
14.014,1403.7,2924.2,6948.7,22.02,1620.69,304.26,18.8
14.034,1409.5,2918.1,6940.3,21.69,1618.77,306.35,18.9
14.054,1415.3,2911.5,6930.5,21.37,1616.53,308.43,19.1
14.074,1421.1,2904.3,6919.3,21.05,1613.97,310.51,19.2
14.094,1426.9,2896.5,6906.6,20.73,1611.07,312.59,19.4
14.114,1432.6,2888.2,6892.5,20.41,1607.84,314.67,19.6
14.134,1438.3,2879.2,6876.8,20.09,1604.26,316.74,19.7
14.154,1444.0,2869.6,6859.6,19.78,1600.33,318.81,19.9
14.174,1449.7,2859.4,6840.9,19.46,1596.05,320.88,20.1
14.194,1455.3,2848.6,6820.7,19.15,1591.41,322.94,20.3
14.214,1460.9,2837.2,6798.8,18.84,1586.42,324.99,20.5
14.234,1466.4,2825.1,6775.4,18.53,1581.07,327.04,20.7
14.254,1472.0,2812.5,6750.4,18.22,1575.36,329.07,20.9
14.274,1477.4,2799.2,6723.9,17.92,1569.30,331.10,21.1
14.294,1482.8,2785.3,6695.8,17.62,1562.87,333.12,21.3
14.314,1488.2,2770.8,6666.1,17.32,1556.09,335.13,21.5
14.334,1493.6,2755.6,6634.9,17.02,1548.95,337.12,21.8
14.354,1498.8,2739.9,6602.1,16.73,1541.46,339.10,22.0
14.374,1504.1,2723.6,6567.8,16.44,1533.63,341.07,22.2
14.394,1509.3,2706.7,6532.0,16.15,1525.45,343.03,22.5
14.414,1514.4,2689.3,6494.7,15.87,1516.94,344.97,22.7
14.434,1519.5,2671.3,6456.0,15.59,1508.10,346.89,23.0
14.454,1524.5,2652.8,6415.9,15.31,1498.94,348.80,23.3
14.474,1529.4,2633.7,6374.4,15.03,1489.47,350.69,23.5
14.494,1534.3,2614.2,6331.6,14.76,1479.69,352.56,23.8
14.515,1539.2,2594.1,6287.5,14.49,1469.63,354.41,24.1
14.535,1543.9,2573.6,6242.2,14.23,1459.29,356.24,24.4
14.555,1548.6,2552.7,6195.7,13.96,1448.68,358.05,24.7
14.575,1553.3,2531.4,6148.0,13.71,1437.81,359.84,25.0
14.595,1557.8,2509.7,6099.3,13.45,1426.71,361.61,25.3
14.615,1562.3,2487.6,6049.6,13.20,1415.37,363.35,25.7
14.635,1566.8,2465.2,5999.0,12.96,1403.83,365.07,26.0
14.655,1571.1,2442.4,5947.5,12.72,1392.09,366.77,26.3
14.675,1575.4,2419.4,5895.2,12.48,1380.17,368.44,26.7
14.695,1579.6,2396.2,5842.2,12.24,1368.09,370.09,27.1
14.715,1583.7,2372.7,5788.5,12.01,1355.86,371.71,27.4
14.735,1587.8,2349.1,5734.2,11.79,1343.50,373.31,27.8
14.755,1591.8,2325.3,5679.4,11.57,1331.03,374.88,28.2
14.775,1595.7,2301.3,5624.1,11.35,1318.45,376.42,28.6
14.795,1599.5,2277.3,5568.5,11.14,1305.80,377.93,28.9
14.815,1603.3,2253.2,5512.6,10.93,1293.09,379.42,29.3
14.835,1607.0,2229.1,5456.5,10.72,1280.34,380.88,29.7
14.855,1610.6,2204.9,5400.3,10.52,1267.55,382.31,30.2
14.875,1614.1,2180.8,5343.9,10.33,1254.75,383.72,30.6
14.895,1617.5,2156.7,5287.6,10.14,1241.96,385.09,31.0
14.915,1620.9,2132.7,5231.4,9.95,1229.18,386.44,31.4
14.935,1624.2,2108.8,5175.2,9.77,1216.45,387.76,31.9
14.955,1627.4,2085.0,5119.3,9.59,1203.76,389.05,32.3
14.975,1630.6,2061.4,5063.7,9.41,1191.14,390.31,32.8
14.995,1633.6,2038.0,5008.3,9.24,1178.59,391.55,33.2
15.015,1636.6,2014.7,4953.4,9.08,1166.14,392.75,33.7
15.035,1639.6,1991.7,4898.9,8.91,1153.79,393.93,34.1
15.055,1642.4,1968.9,4844.9,8.76,1141.56,395.08,34.6
15.075,1645.2,1946.4,4791.4,8.60,1129.46,396.20,35.1
15.095,1647.9,1924.2,4738.5,8.45,1117.50,397.29,35.6
15.115,1650.5,1902.2,4686.3,8.31,1105.68,398.36,36.0
15.135,1653.1,1880.6,4634.7,8.16,1094.02,399.40,36.5
15.155,1655.6,1859.2,4583.8,8.02,1082.53,400.41,37.0
15.175,1658.0,1838.3,4533.7,7.89,1071.21,401.40,37.5
15.195,1660.3,1817.6,4484.4,7.76,1060.08,402.36,38.0
15.215,1662.6,1797.3,4435.8,7.63,1049.13,403.29,38.4
15.235,1664.8,1777.4,4388.1,7.51,1038.38,404.20,38.9
15.255,1667.0,1757.9,4341.3,7.39,1027.82,405.09,39.4
15.275,1669.1,1738.7,4295.3,7.27,1017.47,405.94,39.9
15.295,1671.1,1719.9,4250.3,7.16,1007.32,406.78,40.4
15.315,1673.1,1701.5,4206.1,7.05,997.39,407.59,40.9
15.335,1675.0,1683.5,4162.9,6.94,987.66,408.38,41.3
15.355,1676.9,1665.9,4120.6,6.84,978.15,409.15,41.8
15.375,1678.7,1648.7,4079.2,6.74,968.86,409.89,42.3
15.395,1680.5,1631.9,4038.8,6.64,959.79,410.61,42.8
15.415,1682.2,1615.5,3999.3,6.55,950.93,411.31,43.3
15.435,1683.8,1599.5,3960.8,6.45,942.29,411.99,43.7
15.455,1685.4,1583.9,3923.2,6.37,933.87,412.65,44.2
15.475,1687.0,1568.7,3886.6,6.28,925.67,413.29,44.6
15.495,1688.5,1553.8,3851.0,6.20,917.68,413.90,45.1
15.516,1689.9,1539.4,3816.2,6.12,909.91,414.50,45.6
15.536,1691.3,1525.3,3782.4,6.04,902.35,415.09,46.0
15.556,1692.7,1511.7,3749.5,5.96,895.00,415.65,46.4
15.576,1694.0,1498.4,3717.6,5.89,887.86,416.19,46.9
15.596,1695.3,1485.4,3686.5,5.82,880.93,416.72,47.3
15.616,1696.5,1472.8,3656.4,5.75,874.20,417.23,47.7
15.636,1697.7,1460.6,3627.1,5.68,867.67,417.73,48.1
15.656,1698.8,1448.8,3598.7,5.62,861.33,418.21,48.6
15.676,1700.0,1437.3,3571.1,5.56,855.19,418.68,49.0
15.696,1701.0,1426.1,3544.4,5.50,849.24,419.13,49.4
15.716,1702.1,1415.2,3518.5,5.44,843.47,419.56,49.7
15.736,1703.1,1404.7,3493.4,5.38,837.89,419.98,50.1
15.756,1704.1,1394.5,3469.1,5.33,832.49,420.39,50.5
15.776,1705.0,1384.6,3445.6,5.28,827.26,420.79,50.9
15.796,1706.0,1375.0,3422.8,5.22,822.20,421.17,51.2
15.816,1706.8,1365.7,3400.8,5.18,817.32,421.54,51.6
15.836,1707.7,1356.7,3379.5,5.13,812.59,421.90,51.9
15.856,1708.5,1348.0,3358.9,5.08,808.02,422.24,52.3
15.876,1709.3,1339.5,3339.0,5.04,803.61,422.58,52.6
15.896,1710.1,1331.3,3319.7,4.99,799.35,422.90,52.9
15.916,1710.9,1323.4,3301.2,4.95,795.24,423.22,53.2
15.936,1711.6,1315.7,3283.2,4.91,791.27,423.52,53.5
